keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Hun Sen',en,Kambodscha,#111111,#111111,1,0.1836343328764497
'Gautam Adani',en,Indien,#111111,#111111,2,0.1827865647045193
'Alexej Kudrin',en,Russland,#e81818,#e81818,1,0.182192287739607
'Andrés Manuel López Obrador',en,Mexiko,#111111,#111111,3,0.1811875594397846
'Sergej Schoigu',en,Russland,#e81818,#e81818,3,0.1807792522332517
'Holger Münch',en,Deutschland,#1818e8,#1818e8,1,0.1805706772342975
'Mohammed bin Salman',en,SaudiArabien,#111111,#111111,2,0.1805142416712676
'Anthony Albanese',en,Australien,#111111,#111111,2,0.1799324508776843
'Sandra Maischberger',en,Deutschland,#1818e8,#1818e8,1,0.179866065763397
'Marine Le Pen',en,Frankreich,#e8e808,#e8e808,2,0.1795522340493467
'Gregor Gysi',en,Deutschland,#1818e8,#1818e8,2,0.1793542177960141
'Bodo Ramelow',en,Deutschland,#1818e8,#1818e8,2,0.179319631146918
'Alexei Nawalny',en,Russland,#e81818,#e81818,1,0.17902709058091
'Benjamin Netanyahu',en,Israel,#111111,#111111,2,0.1788300694522177
'Generalbundesanwalt Peter Frank',en,Deutschland,#1818e8,#1818e8,2,0.1786992641249632
'Jürgen Grässlin',en,Deutschland,#1818e8,#1818e8,1,0.176924977767875
'Michael Mann',en,USA,#18e8e8,#18e8e8,3,0.1766839169347018
'Benjamin Netanjahu',en,Israel,#111111,#111111,3,0.1765678329065039
'Subrahmanyam Jaishankar',en,Indien,#111111,#111111,2,0.1763561850258266
'Aleksandar Vucic',en,Serbien,#111111,#111111,3,0.1760835580301185
'Andrzej Duda',en,Polen,#111111,#111111,3,0.1754131686451492
'Nicola Sturgeon',en,UK,#e838e8,#e838e8,2,0.1747205822230828
'Christine Lagarde',en,EU,#111111,#111111,3,0.1744787264660274
'Sahra Wagenknecht',en,Deutschland,#1818e8,#1818e8,3,0.173142414839009
'Alice Weidel',en,Deutschland,#1818e8,#1818e8,1,0.1730025649328061
'Robin Li',en,China,#e88818,#e88818,2,0.1723977670136602
'Lael Brainard',en,USA,#18e8e8,#18e8e8,1,0.172151045311643
'Larry Ellison',en,USA,#18e8e8,#18e8e8,1,0.1715499880435491
'Franziska Giffey',en,Deutschland,#1818e8,#1818e8,3,0.1711904025892503
'Kardinal Woelki',en,Deutschland,#1818e8,#1818e8,3,0.1709113113050359
'Thierry Breton',en,EU,#111111,#111111,2,0.1707289014687776
'Lula sa Silva',en,Brasilien,#58e838,#58e838,2,0.1696511668266801
'Patriarch Kyrill',en,Ukraine,#e818e8,#e818e8,3,0.1693208263747925
'Karl Nehammer',en,Oesterreich,#111111,#111111,1,0.1691960161077116
'Antonio Guterres',en,UN,#e888e8,#e888e8,3,0.1690560933567332
'Bill Gates',en,USA,#18e8e8,#18e8e8,3,0.1690003963534724
'Martin Schirdewan',en,Deutschland,#1818e8,#1818e8,2,0.1686980148325159
'Boris Palmer',en,Deutschland,#1818e8,#1818e8,1,0.1685351983509038
'Andreas Baum',en,Deutschland,#1818e8,#1818e8,1,0.168427951669922
'Andrea Lindholz',en,Deutschland,#1818e8,#1818e8,1,0.1682330934331513
'Nicola Beer',en,EU,#111111,#111111,1,0.167632495792913
'Kim Jong-un',en,NordKorea,#e85858,#e85858,3,0.1669946821293978
'Justin Trudeau',en,Kanada,#111111,#111111,3,0.1666488751065485
'Andrew Forrest',en,Australien,#111111,#111111,1,0.1662290245973235
'Karl Lauterbach',en,Deutschland,#1818e8,#1818e8,2,0.1660299331007256
'Louis Klamroth',en,Deutschland,#1818e8,#1818e8,2,0.165560566557772
'Winfried Kretschmann',en,Deutschland,#1818e8,#1818e8,1,0.1651134855123221
'Roberta Metsola',en,EU,#111111,#111111,1,0.164994776793156
'Björn Höcke',en,Deutschland,#1818e8,#1818e8,1,0.1648239401008427
'John Kerry',en,USA,#18e8e8,#18e8e8,1,0.1648160755039041
'Wolodymyr Selenski',en,Ukraine,#e818e8,#e818e8,1,0.163572193295483
'Stephan Harbarth',en,Deutschland,#1818e8,#1818e8,1,0.1631758778611338
'Chez Krömer',en,Deutschland,#1818e8,#1818e8,1,0.1628531608468749
'Markus Söder',en,Deutschland,#1818e8,#1818e8,1,0.1625088395233986
'Horst Seehofer',en,Deutschland,#1818e8,#1818e8,1,0.1619899913519324
'Sergej Lawrow',en,Russland,#e81818,#e81818,1,0.1615987923665612
'Melinda Gates',en,USA,#18e8e8,#18e8e8,1,0.1608978664171119
'Marco Buschmann',en,Deutschland,#1818e8,#1818e8,2,0.1603635892842408
'Cyril Ramaphosa',en,Südafrika,#111111,#111111,2,0.1594663509329859
'Markus Krebber',en,Deutschland,#1818e8,#1818e8,1,0.1579639078794572
'Joko Widodo',en,Indonesien,#111111,#111111,1,0.1579323517396349
'Mahmud Abbas',en,Palistina,#111111,#111111,1,0.1577346848682433
'Alice Schwarzer',en,Deutschland,#1818e8,#1818e8,2,0.1576527794525236
